"","UB","UL","UF","DR","DF","DL","DB","RB","RF","RD","LF","LU","LB","LD","FR","FU","FL","FD","BL","BU","BR","BD",
"UB","","[R' E R U: R' E' R, U]","[R' E R U: R' E' R, U2]","[R E' R2 E R, U]","[R U' R' D: S, R2]","[S R B' R': S, R2]","[U', M' U2 M']","[U': U', R' S' R]","[U': U', R S' R']","[R E R', U]","[R' E R, U]","[S: U, R E R']","[R E' R', U]","[U': U', R' S R]","[U': U', R' S2 R]","[R U R' U', M']","[R E2 R', U]","[U: M', R U' R' U]","[R' E2 R, U]","","[U': U', R S2 R']","[R' U R U', M]",
"UL","[R' E R U: U, R' E' R]","","[R' E R U': U', R' E' R]","[S, R2]","[U': M', U2]","[L2, S']","[U: M, U2]","[U2, R' S' R]","[U2, R S' R']","[R E R', U2]","[R' E R, U2]","","[R E' R', U2]","[U2, R' S R]","[U2, R' S2 R]","[M U': M', U2]","[R E2 R', U2]","[M U: M, U2]","[R' E2 R, U2]","[M' U: M, U2]","[U2, R S2 R']","[M' U': M', U2]",
"UF","[R' E R U': R' E' R, U2]","[R' E R U': R' E' R, U']","","[R E' R2 E R, U']","[U, M U2 M]","[S R' F R: S, R2]","[R U R' U: M, U2]","[U: U, R' S' R]","[U: U, R S' R']","[R' E' R, U']","[R' E R, U']","[S: U', R E R']","[R E' R', U']","[U: U, R' S R]","[U: U, R' S2 R]","","[R E2 R', U']","[R U' R' U, M']","[R' E2 R, U']","[R' U' R U, M]","[U: U, R S2 R']","M U' M' U' M U' M' U'",
"DR","[U, R E' R2 E R]","[R2, S]","[U', R E' R2 E R]","","[R D' R': S', R2]","[S', R2]","[R D R': S', R2]","[R' S' R': S, R2]","[R S' R: S, R2]","","[S' l' S, R2]","[l': S' l S, R2]","R2 S R' E' R2 E R S'","[R: E l E', R2]","[R U2 R: S, R2]","[r U' R: S, R2]","[R: E, R2]","[S' U: M', U2]","[R': E', R2]","[r' U R': S, R2]","[R' U2 R': S, R2]","[S' U': M, U2]",
"DF","[R U' R' D: R2, S]","[U: M', U2]","[M U2 M, U]","[R D' R: S', R2]","","[S R' F' R: S, R2]","[D': R2, S']","[R' S' R U: M', U2]","[R S' R' U: M', U2]","[R F' R', S]","[R F R': U', R' E R]","[U2: R' F' R, S]","[S R' F': R2, E']","[R' S R U: M', U2]","[R, U' M2 U]","[R' F': R U' R', E]","[D R: E, R2]","","[D R': E', R2]","[r' U r U: M', U2]","[R', U' M2 U]","[r' U' r U: M', U2]",
"DL","[S' R B' R': S, R2]","[S', L2]","[S' R' F R: S, R2]","[R2, S']","[S' R' F' R: S, R2]","","[S' R B R': S, R2]","[R' S' R: R S' R', U2]","[R S' R': R' S' R, U2]","[U: S', R F R']","[S U2 R': E, R2]","[R' F' R: R' S R, U]","[S U2 R: E', R2]","","[U R' U': R2, S']","[R F R: S', R2]","[l': l', S R2 S']","[R F' R: S', R2]","[l: l, S R2 S']","[R' B' R': S', R2]","[U R U': R2, S']","[R' B R': S', R2]",
"DB","[M' U2 M', U']","[U': M, U2]","[R U R' U': M, U2]","[R D R: S', R2]","[D: R2, S']","[S R B R': S, R2]","","[R' S' R U': M, U2]","[R S' R' U': M, U2]","[R' B R, S]","[S R B: R2, E]","[U2: R B R', S]","[R' B' R: U, R E' R']","[R' S R U': M, U2]","[R, U M2 U']","[r U' r' U': M, U2]","[D' R: E, R2]","[r U r' U': M, U2]","[D' R': E', R2]","[U D': S', R' F R]","[R', U M2 U']","",
"RB","[U': R' S' R, U']","[R' S' R, U2]","[U: R' S' R, U]","[R' S' R: S, R2]","[R' S' R U': M', U2]","[R' S' R: U2, R S' R']","[R' S' R U: M, U2]","","[S' R: S, R2]","[U' R U, S]","[R' S': E, R U2 R']","[R' U2 R, S']","[R' S' R: R E' R', U2]","[R' S': R U2 R', S2]","[u: R U' R', E]","[R' U: U, R S' R']","[R' U' B': R2, E]","[S' R' U: M', U2]","[E, R B2 R']","[R' U': U', R S' R']","","[S' R' U': M, U2]",
"RF","[U': R S' R', U']","[R S' R', U2]","[U: R S' R', U]","[R S' R': S, R2]","[R S' R' U': M', U2]","[R S' R': U2, R' S' R]","[R S' R' U: M, U2]","[S' R': S, R2]","","[U' R' U, S]","[R S' R': R' E R, U2]","[R U2 R', S']","[R S': E', R' U2 R]","[R S': R' U2 R, S2]","","[R U: U, R' S' R]","[E', R' F2 R]","[S' R U: M', U2]","[R U F: R2, E']","[R U': U', R' S' R]","[u': R' U R, E']","[S' R U': M, U2]",
"RD","[U, R E R']","[U2, R E R']","[U', R' E' R]","","[S, R F' R']","[U: R F R', S']","[S, R' B R]","[S, U' R U]","[S, U' R' U]","","[S, R F2 R']","[D': S, R' F' R]","[S, R' B2 R]","[U R' F R: S', R2]","[R U R' U', S']","[R' F R, S']","[R' F2 R, S']","[R' F' R, S']","[R B2 R', S']","[R B' R', S']","[R' U R U', S']","[R B R', S']",
"LF","[U, R' E R]","[U2, R' E R]","[U', R' E R]","[R2, S' l' S]","[R F R': R' E R, U']","[S U2 R: E, R2]","[S R B: E, R2]","[R' S': R U2 R', E]","[R S' R': U2, R' E R]","[R F2 R', S]","","[E R' E', l]","[R' B': R U R', E]","[E R' E', l']","[u': R U R', E']","[S U' R: E, R2]","","[D: R F2 R', S]","[E', R B2 R']","[S U R: E, R2]","[R' U': R U R', E]","[D': R F2 R', S]",
"LU","[S: R E R', U]","","[S: R E R', U']","[l: S l S', R2]","[U2: S, R' F' R]","[R' F' R: U, R' S R]","[U2: S, R B R']","[S', R' U2 R]","[S', R U2 R']","[D': R' F' R, S]","[l, E R' E']","","[l', E' R E]","[D: R' F' R, S]","[R, U' M' U]","[R' F R, S]","[R' F2 R, S]","[R' F' R, S]","[R B2 R', S]","[S', R U' R']","[R', U' M' U]","[R B R', S]",
"LB","[U, R E' R']","[U2, R E' R']","[U', R E' R']","[R2, S' l S]","[S R' F': E', R2]","[S U2 R': E', R2]","[R' B' R: R E' R', U]","[R' S' R: U2, R E' R']","[R S': R' U2 R, E']","[R' B2 R, S]","[R' B': E, R U R']","[E' R E, l']","","[E' R E, l]","[R U: R' U' R, E']","[S U' R': E', R2]","[E, R' F2 R]","[D: R' B2 R, S]","","[S U R': E', R2]","[u: R' U' R, E]","[D': R' B2 R, S]",
"LD","[U': R' S R, U']","[R' S R, U2]","[U: R' S R, U]","[R': E l E', R2]","[R' S R U': M', U2]","","[R' S R U: M, U2]","[R' S: R U2 R', S2]","[R S: R' U2 R, S2]","[U R' F R': S', R2]","[l', E R' E']","[D: S, R' F' R]","[l, E' R E]","","[E' l' E, R']","[R': F, R' S' R]","[R': F2, R' S' R]","[D: S', R' F' R]","[R: B2, R S' R']","[R: B', R S' R']","[E l E', R]","[D': S', R B R']",
"FR","[U': R' S2 R, U']","[R' S2 R, U2]","[U: R' S2 R, U]","[R U2 R': S, R2]","[U' M2 U, R]","[U R' U': S', R2]","[U M2 U', R]","[U: R U' R', E']","","[S', R U R' U']","[U': R U R', E]","[U' M' U, R]","[R u: R' U' R, E]","[R', E' l' E]","","[S': U, R S' R']","[U R' U' R: E, R2]","[U M' U', R]","[U R' U' R': E', R2]","[S': U', R S' R']","[U2 R': S, R2]","[U' M U, R]",
"FU","[M', R U R' U']","[M U: M', U2]","","[r U' R': S, R2]","[R' F': E, R U' R']","[R F R': S', R2]","[r U' r' U: M, U2]","[R' U: R S' R', U]","[R U: R' S' R, U]","[S', R' F R]","[S U' R': E, R2]","[S, R' F R]","[S U' R: E', R2]","[R': R' S' R, F]","[S': R S' R', U]","","R E R' U' R' E2 R U R' E R","[D: S', R' F R]","[R F: R2, E']","[U' M' U: M, U2]","[S': R' S' R, U]","[D': S', R' F R]",
"FL","[U, R E2 R']","[U2, R E2 R']","[U', R E2 R']","[R': E, R2]","[D R': E, R2]","[l': S R2 S', l']","[D' R': E, R2]","[R' U' B': E, R2]","[R' F2 R, E']","[S', R' F2 R]","","[S, R' F2 R]","[R' F2 R, E]","[R': R' S' R, F2]","[U R' U' R': E, R2]","R' E' R U' R' E2 R U R E' R'","","[D: S', R' F2 R]","[L: S', L2]","[R' B': E, R2]","[U R U' R': E, R2]","[R' B: E, R2]",
"FD","U' M' U' M U' M' U' M","[M U': M, U2]","[M', R U' R' U]","[S' U': M', U2]","","[R F' R': S', R2]","[r U r' U: M, U2]","[S' R' U': M', U2]","[S' R U': M', U2]","[S', R' F' R]","[D: S, R F2 R']","[S, R' F' R]","[D: S, R' B2 R]","[D: R' F' R, S']","[R, U M' U']","[D: R' F R, S']","[D: R' F2 R, S']","","[R F': R2, E']","[D: R B' R', S']","[R', U M' U']","[M' U M, d2]",
