"","UR","UF","UL","UB","DR","DF","DL","DB","FR","FL","BL","BR",
"UR","","[U: R' S R2 S2 R', U]","[U: M', U2] [R' F' R, S]","[U': R' S R2 S2 R', U']","S' [U: M', U2] R' F' R S R' F R","[U': M', U2] [S, R' F' R]","R2 S' R2 [U2, R E R'] S","U' M U' [S, R' F' R] U' M' U'","[R S' R', U2] [U2, R' S2 R]","[U', R' E R] [R E2 R', U']","[U, R E' R'] [R' E2 R, U]","[R' S' R, U2] [U2, R S2 R']",
"UF","","","[R' S R2 S2 R', U]","M' U2 M U [R' F' R, S] U","R E' R2 E R U' R' E' R2 E2 U R E' R'","R' F' R S R' E R2 E' R F2 R S' R' F' R","R' S R U R S' R' U' R' S2 R U R S2 R' U'","U2 M U' [S, R' F' R] U' M'","[R S' R', U] [U, R' S2 R]","[R' E R, U'] [U', R E2 R']","[R E' R', U'] [U', R' E2 R]","[R' S' R, U] [U, R S2 R']",
"UL","","","","[R' S R2 S2 R', U']","[S, R2] [U2, R E R']","U M' U2 M U' [S, R' F' R] U2","U R' S R U' R S' R' U R' S2 R U' R S2 R'","U M U' [S, R' F' R] U' M' U","[U, R S' R'] [R' S2 R, U]","[R' E R, U2] [U2, R E2 R']","[U, R' S' R] [R S2 R', U]","[R E' R', U2] [U2, R' E2 R]",
"UB","","","","","R E' R2 E R U R' E' R2 E2 U' R E' R'","M' U2 M U' [S, R' F' R] U'","R' S R U' R S' R' U R' S2 R U' R S2 R' U","M U' [S, R' F' R] U' M' U2","[R S' R', U'] [U', R' S2 R]","[R' E R, U] [U, R E2 R']","[R E' R', U] [U, R' E2 R]","[R' S' R, U'] [U', R S2 R']",
"DR","","","","","","[R' F' R, S'] [R F' R', S]","[Lw': S' Lw' S, R2] [R2, S']","[R B R', S'] [R' B R', S]","R S' R' [S, R2] [U2, R E R'] R S R'","[R': E, R2] [R' F2 R, S']","[R: E', R2] [R B2 R', S']","R' S' R [S, R2] [U2, R' E' R] R' S R",
"DF","","","","","","","S' [R' F' R, S'] [R F' R', S] S","M2 U' [S, R' F' R] U' M' U2 M'","M' [R S' R', U] [U, R' S2 R] M","M' [R' E R, U'] [U', R E2 R'] M","M' [R E' R', U'] [U', R' E2 R] M","M' [R' S' R, U] [U, R S2 R'] M",
"DL","","","","","","","","S' [R B R', S'] [R' B R, S] S","[S, R U2 R'] [R S: S, R2]","[S', R2] [R': E, R2] S' [R': E, R2] S","[S', R2] [R: E', R2] S' [R: E', R2] S","[S, R' U2 R] [R' S: S, R2]",
"DB","","","","","","","","","M [R S' R', U'] [U', R' S2 R] M'","M [R' E R, U] [U, R E2 R'] M'","M [R E' R', U] [U, R' E2 R] M'","M [R' S' R, U'] [U', R S2 R'] M'",
"FR","","","","","","","","","","R S R' [E, R2] F2 R S' R' F2","R u R' U' R E R2 E2 R U R' E2 R2 U' R'","[R U R': [R' S' R, U] [U, R S2 R']]",
"FL","","","","","","","","","","","[R' B' R: [R' E R, U] [U, R E2 R']]","R' u' R U R' E' R2 E2 R' U' R E2 R2 U R",
"BL","","","","","","","","","","","","R' S R [E', R2] B2 R S' R' B2",
"BR","","","","","","","","","","","","",
