"","BD","BL","BR","BU","DB","DF","DL","DR","FD","FL","FR","LB","LD","LF","LU","RB","RD","RF","UB","UF","UL",
"BD","","[U' D': R B2 R', S']","[U': R', U' M U]","[U': S, R B R']","","[D': R F R', S']","[U' R' B R: S', R2]","[D' R' F: R2, E]","[D': R' F R, S, R2]","[U' R' B': E, R2]","[U': R, U' M U]","[U' R: E', r' U r]","[U: D, R' S' R]","[U' r': E, r U r']","[D' R' F R': S, R2]","[U r': S', R U' R']","[U': S', R B R']","[R' U': S', R B R']","[U' M' U: M', U2]","","[D: R' S R, U]",
"BL","[U' D': S', R B2 R']","","[R U' R: E', R2]","[U': S, R B2 R']","[U' D' R: E', R2]","[U' D R: E', R2]","[U' l: S R2 S', l]","[U' R: E', R2]","[U' R F: E, R2]","[U' L': S', L2]","[R' U' R: E', R2]","","[U' R: R S R', B2]","[R' E': E', R U' R']","[U' R F: R2, E']","[U': R B2 R', E]","[R' E': E', R U' R']","[R S U' R: E', R2]","[U: R' E2 R, U2]","","[E': R' S' R, U]",
"BR","[U': U' M U, R']","[R U' R': E', R2]","","[M, U' R' U]","[M2, U' R' U]","[U R' U: M', U2]","[R U': S', R2]","[S' R' U: R S' R', U]","[M', U' R' U]","[R U' R: E, R2]","[U R: S, R2]","[R' U' R, E']","[R' U: R S R', U]","[R': U', R' E R]","[S' U L': E, L2]","","[S R U': S', R2]","[R' U' R, E]","[R U': R2, S]","","[R S2 R', U]",
"BU","[U': R B R', S]","[U': R B2 R', S]","[U' R' U, M]","","[U: S, R B R']","[U: S, R' F' R]","[U D: S, R' F' R]","[U D': S, R' F' R]","[U': R' F' R, S]","[U': R' F2 R, S]","[U' R U, M]","[U: S, R' B2 R]","[U' D: R' F' R, S]","[U: S, R' F2 R]","[U': R' F R, S]","[M', U R' U']","[U' D': R' F' R, S]","[M', U R U']","","","[U: R U' R', S']",
"DB","","[U' D' R': E', R2]","[U' R' U, M2]","[U: R B R', S]","","[M': U2, M']","[D R' F': R' S' R, F2]","[D' R' F': R S' R', F2]","[D: S', R F R']","[U' D' R: E, R2]","[U D L': E', L2]","[U R B: R' S R, B]","[U' R' S R U': M', U2]","[D' R' F: F, R S' R']","[D: S, L F' L']","[M': U R' U', M2]","[U': S', R B R']","[M': U R U', M2]","[U2, M]","","[R B R': R' F R, S]",
"DF","[D': S', R F R']","[U' D R': E', R2]","[U R' U': M', U2]","[U: R' F' R, S]","[M': M', U2]","","[R' F: R' S' R, F2]","[R' F: R S' R', F2]","","[D U' R: E, R2]","[U D' L': E', L2]","[R' F': E', L2]","[L F': E', L2]","[U R' F': R S R', F']","[D': S, r U' r']","[F: E, R2]","[R' F: E, R2]","[R2 F: E, R2]","[M', U2]","","[R' F: R S R', F2]",
"DL","[U' R' B R': S', R2]","[U' l: l, S R2 S']","[R U': R2, S']","[U D: R' F' R, S]","[D R' F: R' S' R, F2]","[R' F': R' S' R, F2]","","[U': R2, S']","[D R' F: E, R2]","[U' l': l', S R2 S']","[U L': E', L2]","[S' R' F: E', R2]","","[R' F: F, R' S' R]","[S, L F' L']","[R' S' R: R S' R', U]","[S', R F R']","[R' S' R, F]","[U': S', L2]","","[S' R' F R: S', R2]",
"DR","[D' R' F: E, R2]","[U' R': E', R2]","[S' R' U: U, R S' R']","[U D': R' F' R, S]","[D' R' F: R S' R', F2]","[R' F': R S' R', F2]","[U': S', R2]","","[U R' F' R: S, R2]","[U' R: E, R2]","[S' R U: U, R S' R']","[u' R: E, R2]","[S, r' D' r]","[R' F: F, R S' R']","[R' F R: U2, R E R']","[u' R': E', R2]","","[U' E' R: E, R2]","[U: S, R2]","","[U': U', R E' R2 E R]",
"FD","[D R' F R: S, R2]","[U' R F': R2, E']","[U' R' U, M']","[U': S, R' F' R]","[D: R F R', S']","","[D R' F: R2, E]","[U R' F' R': S', R2]","","[R' F: R U' R', E]","[U' R U, M]","[U' r: E', R' U' R]","[U: D', R' S' R]","[U' R': E, r U' r']","[U' R F': E, R2]","[M': U R' U', M']","[U': S', R' F' R]","[M': U R U', M']","[U' R F' R: S, R2]","","[U': M', R U' R' U]",
"FL","[U' R' B: E, R2]","[U' L: S', L2]","[R U' R': E, R2]","[U': S, R' F2 R]","[U' D' R': E, R2]","[D U' R': E, R2]","[U' l': S R2 S', l']","[U' R': E, R2]","[R' F: E, R U' R']","","[R' U' R': E, R2]","[U': R' F2 R, E]","[U' R': R' S' R, F2]","","[r' F': r S r', F']","[R' S U' R': E, R2]","[U': S', R' F2 R]","[U': R' F2 R, E']","[U: R E2 R', U2]","","[U': U', R E2 R']",
"FR","[U': U' M U, R]","[R' U' R': E', R2]","[U R': S, R2]","[M, U' R U]","[U D L: E', L2]","[U D' L: E', L2]","[U L: E', L2]","[S' R U: R' S' R, U]","[M', U' R U]","[R' U' R: E, R2]","","[R: U', R E' R']","[R U: R' S R, U]","[R U' R', E]","[S' U L: E', L2]","[R U' R', E']","[R' f R': S', R2]","","[R' U: S, R2]","","[R' S2 R, U]",
"LB","[U' R: E', r' U r]","","[E', R' U' R]","[U: R B2 R', S]","[U R B: B, R' S R]","[R' F: E', L2]","[S' R' F: R2, E']","[u' R': E, R2]","[U' r: R' U' R, E']","[u': R' F2 R, E]","[R: R E' R', U']","","[S U': U', R E' R']","[U' R' B': E, R U R']","[S: R E' R', U']","[u R: S, R2]","[R' F: R2, E']","[R2 F: R2, E']","[U: R E' R, U2]","","[U': U', R E' R']",
"LD","[U: R' S' R, D]","[U' R: B2, R S R']","[R' U: U, R S R']","[U' D: S, R' F' R]","[U' R' S R U: M, U2]","[L F': L2, E']","","[r' D' r, S]","[U: R' S' R, D']","[U' R': F2, R' S' R]","[R U: U, R' S R]","[S U': R E' R', U']","","[U': l', E R' E']","[U' R': F, R' S' R]","[R' S R: U, R' S2 R]","[R' F' R': S', R2]","[R S R': U, R S2 R']","[U': R' S R, U2]","","[R' S R, U]",
"LF","[U' r': R U R', E]","[R' E': R U' R', E']","[R': R' E R, U']","[U: R' F2 R, S]","[D' R' F: R S' R', F]","[U R' F': F', R S R']","[R' F: R' S' R, F]","[R' F: R S' R', F]","[U' R': r U' r', E]","","[E, R U' R']","[U' R' B': R U R', E]","[u': R', E' l' E]","","[S: R' E R, U']","[E: R U' R', E2]","[R' E: R U' R', E2]","[U E R': S, R2]","[U: R' E R, U2]","","[U': U', R' E R]",
"LU","[D' R' F R: S, R2]","[U' R F: E', R2]","[S' U L: E, L2]","[U': S, R' F R]","[D: L F' L', S]","[L F: E', L2]","[L F' L', S']","[R' F R: R E R', U2]","[U' R F': R2, E]","[r' F': F', r S r']","[S' U L': E', L2]","[S: U', R E' R']","[U' R': R' S' R, F]","[S: U', R' E R]","","[r' U: M', U2]","[R' F R: S, R2]","[R2 F R: S, R2]","[U' R F R: S, R2]","","",
"RB","[U M: U', R' S' R]","[u': R B2 R', E']","","[U R' U', M']","[M: U R' U', M2]","[F: R2, E]","[R' S' R: U, R S' R']","[u' R: E', R2]","[M': M', U R' U']","[R' S U' R: E, R2]","[E', R U' R']","[u R': S, R2]","[R' S' R: U, R' S2 R]","[E': R U' R', E2]","[r' U': M', U2]","","[S' U: U, R' S' R]","[M' U' R: S, R2]","[U': R' S' R, U2]","","[R' S' R, U]",
"RD","[U': R B R', S']","[R' E': R U' R', E']","[S R U': R2, S']","[D' U': S, R' F' R]","[U': R B R', S']","[R' F: R2, E]","[R F R', S']","","[U': R' F' R, S']","[U': R' F2 R, S']","[R' f R: S', R2]","[R' F: E', R2]","[R' F R: S', R2]","[R' E': R U' R', E2]","[R' F R': S, R2]","[S' U: R' S' R, U]","","[S' U: R S' R', U]","[U: R E R', U2]","","[U': U', R E' R']",
"RF","[R' U': R B R', S']","[R S U' R': E', R2]","[E, R' U' R]","[U R U', M']","[M: U R U', M2]","[R2 F: R2, E]","[F, R' S' R]","[U' E' R': E, R2]","[M': M', U R U']","[U': E', R' F2 R]","","[R2 F: E' R2]","[R S' R': U, R S2 R']","[U E R: S, R2]","[R2 F R': S, R2]","[M' U' R': S, R2]","[S' U: U, R S' R']","","[U': R S' R', U2]","","[R S' R', U]",
"UB","[U' M' U': M', U2]","[U': R' E2 R, U2]","[R U: R2, S]","","[M, U2]","[U2, M']","[U: S', L2]","[U': S, R2]","[U' R F' R': S, R2]","[U': R E2 R', U2]","[R' U': S, R2]","[U': R E' R, U2]","[U: R' S R, U2]","[U': R' E R, U2]","[U' R F R': S, R2]","[U: R' S' R, U2]","[U': R E R', U2]","[U: R S' R, U2]","","","[R' F R: R U R', S']",
"UF","","","","[U': S, R' F' R]","","","","","","","","","","","","","","","","","",
"UL","U' M U' M' U' M U' M'","[u: R' S' R, U']","[U, R S2 R']","[U: S', R U' R']","[R B R': S, R' F R]","[R' F': R S R', F2]","[S' R' F R': S', R2]","[U: R E' R2 E R, U']","[U': R U' R' U, M']","[U': R E2 R', U']","[U, R' S2 R]","[U': R E' R', U']","[U, R' S' R]","[U': R' E R, U']","","[U, R' S' R]","[U': R E' R', U']","[U, R S' R']","[R' F R: S', R U' R']","","",
