"","BD","BL","BR","BU","DB","DF","DL","DR","FD","FL","FR","FU","LB","LD","LF","LU","RB","RD","RF","UB","UF","UL",
"BD","","[D': R B2 R', S']","[R', U' M U]","[R' B: E', R2]","","[r' U' r U': M', U2]","[R' B R: S', R2]","[S' U: M, U2]","[U D' R' F R: S', R2]","[R' B: R2, E]","[R, U' M U]","[D': R' F R, S']","[R: E', r' U r]","[D': R B R', S']","[r': E, R U R']","[S, R B R']","[S' R' U: M, U2]","[S', R B R']","[S' R U: M, U2]","[M, R' U R U']","[D': U', R E R']","[R' B R': S, R2]",
"BL","[D': S', R B2 R']","","[U R U' R: E', R2]","R E R' U R E2 R' U' R' E R","[D' R: E', R2]","[D R: E', R2]","[l: S R2 S', l]","[R: E', R2]","[R F': E', R2]","[L': S', L2]","[U R' U' R: E', R2]","[R F: E', R2]","","[R: R S' R', B2]","[R B2 R', E']","[S, R B2 R']","[R B2 R', E]","[S', R B2 R']","[R U F: E', R2]","[U, R' E2 R]","[U', R' E2 R]","[U2, R' E2 R]",
"BR","[U' M U, R']","[U R U' R': E', R2]","","[S': U', R' S' R]","[U M2 U', R']","[U' M2 U, R']","[U R U': S', R2]","[R' U2 R: S, R2]","[U M' U', R']","[U R U' R: E, R2]","[U2 R: S, R2]","[S': U, R' S' R]","[U: R' U' R, E']","[R, E l E']","[R' u': R U R', E']","[U' M' U, R']","","[S', R' U R U']","[U': R' U R, E]","[U': R S2 R', U']","[u': R E' R', U]","[R S2 R', U2]",
"BU","[R' B': E', R2]","R' E' R U R E2 R' U' R E' R'","[S': R' S' R, U']","","[U D': R' F R, S']","[r' U r U': M', U2]","[R' B' R: S', R2]","[r' U R: S, R2]","[D: S', R B' R']","[R' B': R2, E]","[S': R S' R', U']","[U' R' B' R': S, R2]","[S U R: E', R2]","[R: R S' R', B']","[S U R': E, R2]","[R U' R', S']","[R' U': R S' R', U']","[S', R B' R']","[R U': R' S' R, U']","","[M, R' U' R U]","[R' B' R': S, R2]",
"DB","","[D' R': E', R2]","[R', U M2 U']","[U D': S', R' F R]","","[D: R2, S']","[S R B R': S, R2]","[R D R: S', R2]","[r U r' U': M, U2]","[D' R: E, R2]","[R, U M2 U']","[r U' r' U': M, U2]","[R' B' R: U, R E' R']","[R' S R U': M, U2]","[S R B: R2, E]","[r' U' r, S']","[R' S' R U': M, U2]","[R' B R, S]","[R S' R' U': M, U2]","[M' U2 M', U']","[R U R' U': M, U2]","[U': M, U2]",
"DF","[r' U' r U: M', U2]","[D R': E', R2]","[R', U' M2 U]","[r' U r U: M', U2]","[D': R2, S']","","[S R' F' R: S, R2]","[R D' R: S', R2]","","[D R: E, R2]","[R, U' M2 U]","[R' F': R U' R', E]","[S R' F': R2, E']","[R' S R U: M', U2]","[F, R' E' R]","[r U r', S']","[R' S' R U: M', U2]","[R F' R', S]","[R S' R' U: M', U2]","[R U' R' D: R2, S]","[M U2 M, U]","[U: M', U2]",
"DL","[R' B R': S', R2]","[l: l, S R2 S']","[U R U': R2, S']","[R' B' R': S', R2]","[S' R B R': S, R2]","[S' R' F' R: S, R2]","","[R2, S']","[R F' R: S', R2]","[l': l', S R2 S']","[U R' U': R2, S']","[R F R: S', R2]","[S U2 R: E', R2]","","[S U2 R': E, R2]","[R' F' R: R' S R, U]","[R' S' R: R S' R', U2]","[U: S', R F R']","[R S' R': R' S' R, U2]","[S' R B' R': S, R2]","[S' R' F R: S, R2]","[S', L2]",
"DR","[S' U': M, U2]","[R': E', R2]","[R' U2 R': S, R2]","[r' U R': S, R2]","[R D R': S', R2]","[R D' R': S', R2]","[S', R2]","","[S' U: M', U2]","[R: E, R2]","[R U2 R: S, R2]","[r U' R: S, R2]","R2 S R' E' R2 E R S'","[R: E l E', R2]","[S' l' S, R2]","[l': S' l S, R2]","[R' S' R': S, R2]","","[R S' R: S, R2]","[U, R E' R2 E R]","[U', R E' R2 E R]","[R2, S]",
"FD","[U D R' F R: S', R2]","[R F': R2, E']","[R', U M' U']","[D: R B' R', S']","[r U r' U: M, U2]","","[R F' R': S', R2]","[S' U': M', U2]","","[D: R' F2 R, S']","[R, U M' U']","[R F': E, R2]","[r: E', R' U' R]","[D: R' F' R, S']","[R': E, r U' r']","[S, R' F' R]","[S' R' U': M', U2]","[S', R' F' R]","[S' R U': M', U2]","U' M' U' M U' M' U' M","[M', R U' R' U]","[R F' R: S, R2]",
"FL","[R' B: E, R2]","[L: S', L2]","[U R U' R': E, R2]","[R' B': E, R2]","[D' R': E, R2]","[D R': E, R2]","[l': S R2 S', l']","[R': E, R2]","[D: S', R' F2 R]","","[U R' U' R': E, R2]","R' E' R U' R' E2 R U R E' R'","[R' F2 R, E]","[R': R' S' R, F2]","","[S, R' F2 R]","[R' U' B': E, R2]","[S', R' F2 R]","[R' F2 R, E']","[U, R E2 R']","[U', R E2 R']","[U2, R E2 R']",
