"","Ub","Ul","Ur","Df","Dr","Dl","Db","Rb","Ru","Rf","Rd","Lu","Lf","Lb","Ld","Fr","Fu","Fl","Fd","Bd","Bu","Br","Bl",
"Ub","","","","[m' u2 m, U2]","[D': m' u2 m, U2]","[D: m' u2 m, U2]","[U2, m U2 m']","[U': r' e' r, U2]","[m' u' m, U2]","[U': r e r', U2]","[m d' m', U2]","[m' u m, U2]","[U': r' e r, U2]","[U': r e' r', U2]","[m d m', U2]","[Rw U 3Rw' U': m', U' r U]","[U' Rw U: U r' U', m']","[3Rw' F Rw U': U' l' U, m']","[U Rw' U': m', U' r U]","[U' Rw' U: U r U', m]","[U' Rw' U': U' r U, m]","[Rw' U' 3Rw U: U r' U', m]","[U' Rw' F: U' m' U, l]",
"Ul","","","","[m' u2 m, U']","[3Rw' U': m', U' r' U]","[l2, D' m2 D]","[D l2 D', m2]","[U': r' e' r, U']","[m' u' m, U']","[U': r e r', U']","[m d' m', U']","[m' u m, U']","[U': r' e r, U']","[U': r e' r', U']","[m d m', U']","[U' rm': U m U', r']","[U2 3Rw: U r' U', m]","[3Rw: U' m U, l']","[U' Rw: U' r' U, m']","[U2 3Rw': U r U', m']","[U' Rw': U' r U, m]","[U' mr': U m' U', r]","[3Rw': U' m' U, l]",
"Ur","","","","[m' u2 m, U]","[r2, D m2 D']","[3Lw U: m', U l U']","[D' r2 D, m2]","[U', r' e' r]","[m' u' m, U]","[U', r e r']","[m d' m', U]","[m' u m, U]","[U', r' e r]","[U', r e' r']","[m d m', U]","[m': U m U', r]","[U' Rw: U r' U', m']","[U 4Rw: U' m U, l]","[3Rw: U' r' U, m]","[U' Rw': U r U', m]","[3Rw': U' r U, m']","[m: U m' U', r']","[U 4Rw': U' m' U, l']",
"Df","[U2, m' u2 m]","[U', m' u2 m]","[U, m' u2 m]","","","","","[D r: r U' r', e']","[U m': m' U m, u]","[3Uw': r', 3Uw' m2 3Uw]","[Dw' l'm': U l ' U', m]","[U m': m' U m, u']","[3Uw': r, 3Uw' m2 3Uw]","[D r': r' U' r, e']","[Dw 3Rw: U' r U, m]","[U': r, U' m2 U]","[U' 3Rw: m', U r' U']","[U: l', U m2 U']","[D 3Rw: U' r U, m]","[D U': U' m U, r2]","[D 3Rw': U' r' U, m']","[U': r', U' m2 U]","[U: l, U m2 U']",
"Dr","[D': U2, m' u2 m]","[3Rw' U': U' r' U, m']","[D m2 D', r2]","","","","","[r: r U' r', e']","[u' 3Rw': U' r' U, m']","[r': r' U' r, e]","[d' 3Rw: U' r U, m]","[u 3Rw': U' r' U, m']","[r: r U' r', e]","[r': r' U' r, e']","[d 3Rw: U' r U, m]","[D: U' r U, m2]","[U': U' m' U, r2]","[D: U l' U', m2]","[3Rw: U' r U, m]","[U': U' m U, r2]","[3Rw': U' r' U, m']","[D: U' r' U, m2]","[D: U l U', m2]",
"Dl","[D: U2, m' u2 m]","[D' m2 D, l2]","[3Lw U: U l U', m']","","","","","[l: l U l', e]","[u' lm: U l U', m']","[l': l' U l, e']","[d' l'm': U l' U', m]","[u lm: U l U', m']","[l: l U l', e']","[l': l' U l, e]","[d l'm': U l' U', m]","[D': U' r U, m2]","[U: U m' U', l2]","[D': U l' U', m2]","[l'm': U l' U', m]","[U: U m U', l2]","[3Lw: U l U', m']","[D': U' r' U, m2]","[D': U l U', m2]",
"Db","[m u2 m', U2]","[m2, D l2 D']","[m2, D' r2 D]","","","","","[D' r: r U' r', e']","[U m: m U' m', u']","[3Uw' r' 3Uw, m2]","[Dw' 3Rw: U' r U, m]","[U m: m U' m', u]","[3Uw' r 3Uw, m2]","[D' r': r' U' r, e']","[Dw l'm': U l' U', m]","[U' r U, m2]","[D' U': U' m' U, r2]","[U l' U', m2]","[D' 3Rw: U' r U, m]","[D' U': U' m U, r2]","[D' 3Rw': U' r' U, m']","[U' r' U, m2]","[U l U', m2]",
"Rb","[U: r' e' r, U2]","[U': U', r' e' r]","[r' e' r, U']","[D r: e', r U' r']","[r: e', r U' r']","[l: e, l U l']","[D' r: e', r U' r']","","","","","[ue': m, U' r U]","[e': r U' r', e2]","[R d'e': U' r' U, m']","[de: m', U l U']","[e', r U' r']","[R' Uw: m' U m, u']","[F2: e', r U' r']","[ue': m', U' r U]","[U 3Rw': m u m', U]","[e': m, U' r U]","[Rw': U, m' u' m]","[e, l U l']",
"Ru","[U2, m' u' m]","[U', m' u' m]","[U, m' u' m]","[U m': u, m' U m]","[u' Rw': U' r' U, m]","[u' l: U l U', m]","[U m: u', m U' m']","","","","","[R ue': m, U' r U]","[3Uw': r, U m U']","[eu': U l' U', m]","[R de: m', U l U']","[Uw': r, U m U']","[Uw: m' U m, u']","[l': U', m' u' m]","[Rw': m', 3Uw' r' 3Uw]","[U m: m u m', U]","[3Rw': 3Uw' r' 3Uw, m']","[Uw': r', U m U']","[Uw: l, U m' U']",
"Rf","[U: r e r', U2]","[U': U', r e r']","[r e r', U']","[3Uw': 3Uw' m2 3Uw, r']","[r': e, r' U' r]","[l': e', l' U l]","[m2, 3Uw' r' 3Uw]","","","","","[ue': m, U l' U']","[R 3Uw': r, U m U']","[e: r' U' r, e2]","[L e: r' U' r, e2]","[Rw: U, m' u' m]","[R Uw: m' U m, u']","[e', l' U l]","[m', 3Uw' r' 3Uw]","[3Uw': 3Uw' m 3Uw, r']","[m, 3Uw' r' 3Uw]","[e, r' U' r]","[l: l e' l', U]",
"Rd","[U2, m d' m']","[U', m d' m']","[U, m d' m']","[Dw' l': U l' U', m']","[d' Rw: U' r U, m']","[d' l': U l' U', m']","[Dw' Rw: U' r U, m']","","","","","[R ue': m, U l' U']","[R' e': r U' r', e2]","[d'e': U' r' U, m']","[U d': m' U' m, d2]","[Dw': U' r U, m']","[R2 Uw: m' U m, u']","[Dw': U l' U', m']","[3Rw: 3Uw' r' 3Uw, m]","[U: d, m U m']","[Rw: m, 3Uw' r' 3Uw]","[Dw': U' r' U, m']","[Dw': U l U', m']",
