"","Bd","Bl","Br","Bu","Db","Df","Dl","Dr","Fd","Fl","Fr","Fu","Lb","Ld","Lf","Lu","Rb","Rd","Rf","Ru","Ub","Ul","Ur",
"Bd","","","","","[D' U': r2, U' m U]","[D U': r2, U' m U]","[U: l2, U m U']","[U': r2, U' m U]","[F' U': r, U' m U]","[U: l', U m U']","[U': r, U' m U]","[F U': r, U' m U]","[U' 3Lw: U', m u' m']","[U': m U' m', d']","[3Uw': r, 3Uw' m 3Uw]","[U m: U, m u' m']","[U 3Rw': U, m u m']","[U: m U m', d]","[3Uw': r', 3Uw' m 3Uw]","[U m: U, m u m']","[U' Rw' U: m, U r U']","[U2 Rw': U r U', m]","[U' 3Rw': U r U', m']",
"Bl","","","","","[m2, U l U']","[U: U m2 U', l]","[D': m2, U l U']","[D: m2, U l U']","[m', U l U']","[F': m', U l U']","[3Lw U': m', U' r U]","[U: U m' U', l]","[Lw: m' u m, U']","[Dw: m', U l U']","[l U l', e']","[u: m, U l U']","[l U l', e]","[Dw': m', U l U']","[l: U, l e' l']","[Uw: U m' U', l]","[U' Rw' F: l, U' m' U]","[4Rw': U' m' U, l']","[U 3Rw': U' m' U, l]",
"Br","","","","","[m2, U' r' U]","[U': U' m2 U, r']","[D': m2, U' r' U]","[D: m2, U' r' U]","[m', U' r' U]","[3Rw' U: m', U l' U']","[F: m', U' r' U]","[U': U' m' U, r']","[r' U' r, e']","[3Rw': d, m' U m]","[Rw': U', r' e r]","[Uw': U' m' U, r']","[Rw': m' u' m, U]","[Dw': m', U' r' U]","[r' U' r, e]","[u': m, U' r' U]","[Rw' U' 3Rw U: m, U r' U']","[U' m: U m' U', r']","[mr': U m' U', r]",
"Bu","","","","","[D' Rw': U' r' U, m]","[D Rw': U' r' U, m]","[Lw: U l U', m]","[Rw': U' r' U, m]","[F': U' r U, m]","[U l' U', m]","[U' r U, m]","[F: U' r U, m]","[e': U' r' U, m]","[Lw': 3Uw' r 3Uw, m]","[3Uw' r 3Uw, m]","[Lw: 3Uw' r 3Uw, m]","[e': U' r U, m]","[Rw: 3Uw' r' 3Uw, m]","[3Uw' r' 3Uw, m]","[Rw': 3Uw' r' 3Uw, m]","[U' Rw' U': m, U' r U]","[U' 3Rw': U' r U, m']","[Rw': U' r U, m]",
"Db","[D' U': U' m U, r2]","[U l U', m2]","[U' r' U, m2]","[D' 3Rw': U' r' U, m']","","","","","[D' 3Rw: U' r U, m]","[U l' U', m2]","[U' r U, m2]","[D' U': U' m' U, r2]","[D' r': r' U' r, e']","[Dw l'm': U l' U', m]","[3Uw' r 3Uw, m2]","[U m: m U' m', u]","[D' r: r U' r', e']","[Dw' 3Rw: U' r U, m]","[3Uw' r' 3Uw, m2]","[U m: m U' m', u']","[m u2 m', U2]","[m2, D l2 D']","[m2, D' r2 D]",
"Df","[D U': U' m U, r2]","[U: l, U m2 U']","[U': r', U' m2 U]","[D 3Rw': U' r' U, m']","","","","","[D 3Rw: U' r U, m]","[U: l', U m2 U']","[U': r, U' m2 U]","[U' 3Rw: m', U r' U']","[D r': r' U' r, e']","[Dw 3Rw: U' r U, m]","[3Uw': r, 3Uw' m2 3Uw]","[U m': m' U m, u']","[D r: r U' r', e']","[Dw' l'm': U l ' U', m]","[3Uw': r', 3Uw' m2 3Uw]","[U m': m' U m, u]","[U2, m' u2 m]","[U', m' u2 m]","[U, m' u2 m]",
"Dl","[U: U m U', l2]","[D': U l U', m2]","[D': U' r' U, m2]","[3Lw: U l U', m']","","","","","[l'm': U l' U', m]","[D': U l' U', m2]","[D': U' r U, m2]","[U: U m' U', l2]","[l': l' U l, e]","[d l'm': U l' U', m]","[l: l U l', e']","[u lm: U l U', m']","[l: l U l', e]","[d' l'm': U l' U', m]","[l': l' U l, e']","[u' lm: U l U', m']","[D: U2, m' u2 m]","[D' m2 D, l2]","[3Lw U: U l U', m']",
"Dr","[U': U' m U, r2]","[D: U l U', m2]","[D: U' r' U, m2]","[3Rw': U' r' U, m']","","","","","[3Rw: U' r U, m]","[D: U l' U', m2]","[D: U' r U, m2]","[U': U' m' U, r2]","[r': r' U' r, e']","[d 3Rw: U' r U, m]","[r: r U' r', e]","[u 3Rw': U' r' U, m']","[r: r U' r', e']","[d' 3Rw: U' r U, m]","[r': r' U' r, e]","[u' 3Rw': U' r' U, m']","[D': U2, m' u2 m]","[3Rw' U': U' r' U, m']","[D m2 D', r2]",
"Fd","[F' U': U' m U, r]","[U l U', m']","[U' r' U, m']","[F': m, U' r U]","[D' Rw: U' r U, m']","[D Rw: U' r U, m']","[l': U l' U', m']","[Rw: U' r U, m']","","","","","[eu': U l' U', m']","[Lw': 3Uw l 3Uw', m']","[3Uw l 3Uw', m']","[Lw: 3Uw l 3Uw', m']","[ue': U' r U, m']","[Rw: 3Uw' r' 3Uw, m']","[3Uw' r' 3Uw, m']","[Rw': 3Uw' r' 3Uw, m']","[U Rw' U': U' r U, m']","[U' 3Rw: U' r' U, m]","[Rw: U' r' U, m']",
"Fl","[U: U m U', l']","[F': U l U', m']","[3Rw' U: U l' U', m']","[m, U l' U']","[m2, U l' U']","[U: U m2 U', l']","[D': m2, U l' U']","[D: m2, U l' U']","","","","","[l' U l, e]","[Dw: m', U l' U']","[3Lw': u, m U' m']","[l'm': u, m U' m']","[F2: r U' r', e']","[Dw': m', U l' U']","[l' U l, e']","[l'm': u', m U' m']","[3Rw' F Rw U': m', U' l' U]","[4Rw: U' m U, l]","[U 3Rw: U' m U, l']",
