"","URb","UBl","ULf","DRf","DFl","DLb","DBr","RBu","RUf","RFd","RDb","LFu","LUb","LBd","LDf","FRu","FUl","FLd","FDr","BLu","BUr","BRd","BDl",
"URb","","[Rw' U: R, U r U']","[Rw' U': U' R U, r]","[U Rw' U': U' R' U, r]","[3Lw: D2, r U r']","[D': r2, R U' R' U]","[r2, R U' R' U]","[R D': r, U' R' U]","[U Rw' U' Rw: U R' U', r]","[R' D': r, U' R U]","[D': r, R U' R' U]","[U', R' u' R]","[U' 3Rw: U R' U', l]","[U', R d' R']","[D: r, R U' R' U]","[r': U r U', R]","[x Rw2 U: R, U r U']","[r' U: r, U L' U']","[r, R U' R' U]","[Uw': R' u' R, U]","[r', R' U' R U]","[r' U r U', R']","[U': l, Rw' U R U']",
"UBl","[Rw' U: U r U', R]","","[Rw' U2: r, R U' R' U]","[Rw' U: U r U', R']","[D Rw' U: U r U', R']","[Lw' U: L', U l U']","[D' Rw' U: U r U', R']","[U R' U': r', U' R U]","[3Rw' U': U' r2 U, R]","[Rw': D', r U2 r']","[r' D' r, U2]","[U': R' u' R, U2]","[Rw' U2 Rw: r, U R' U']","[U': R d' R', U2]","[r' D r, U2]","[r' U: U r U', R]","[Rw' D: l, U' R2 U]","[Rw' U': U' r U, L']","[U2, l' D2 l]","[Rw' U': U' r U, L]","[Rw': l' D2 l, U2]","[Rw' U: r, R U' R' U]","[r' D2 r, U2]",
"ULf","[Rw' U': r, U' R U]","[Rw' U2: R U R' U', r]","","[Rw' U': r, U' R' U]","[D Rw' U': r, U' R' U]","[U' D': R U' R' U, r2]","[U': R U' R' U, r2]","[R' U': R' U' R U, r']","[U': R' U' R U, r']","[R U': R' U' R U, r']","[U' D': R U' R', r]","[U': R' u' R, U']","[Rw' U' l': U2, l' D2 l]","[U': R d' R', U']","[U' D: R U' R' U, r]","[r' U': r, U' R U]","[Rw' U' Rw: r, U R' U']","[3Rw': U' r U, L']","[U': R U' R' U, r]","[3Rw': U' r U, L]","[3Lw: U L' U', r]","[U': R', r' U r U']","[3Rw' U2: R U' R' U, r]",
"DRf","[U Rw' U': r, U' R' U]","[Rw' U: R', U r U']","[Rw': U': U' R' U, r]","","[U': U' l2 U, R2]","[R D': r2, U' R U]","[Rw r: U' R U, r2]","[R D': r, U' R U]","[R: R U' R', u]","[R' D': r, U' R' U]","[D' Rw D: U' R2 U, r']","[3Lw' U: U, R u' R']","[U' D' 3Rw: l', U R' U']","[R': R' U' R, d']","[R D: U' R U, r]","[D: U' R U, r2]","[r: U2, r D r']","[D: U L' U', r2]","[Rw: U' R U, r']","[D: U L U', r2]","[R': r', U' R' U]","[D: U' R' U, r2]","[U': U' l U, R2]",
"DFl","[Lw: U, r' D2 r]","[D Rw' U: R', U r U']","[D Rw' U': U' R' U, r]","[U': R2, U' l2 U]","","[Lw U: L, U l U']","[D R D': r2, U' R U]","[r U: R', U l' U']","[Rw U: R', U l' U']","[r U: R, U l' U']","[Rw U: R, U l' U']","[Rw U': L', U' l' U]","[U' 3Rw: l', U R' U']","[Rw U': L, U' l' U]","[D Rw: U' R U, r']","[U': R, U' l2 U]","[r: U2, r D2 r']","[U': L', U l2 U']","[Rw D: U' R2 U, r']","[U: L, U l2 U']","[D R': r', U' R' U]","[U': R', U' l2 U]","[U' 3Rw': l, U R U']",
"DLb","[D': R U' R' U, r2]","[Lw' U: U l U', L']","[U' D': r2, R U' R' U]","[R D': U' R U, r2]","[Lw U: U l U', L]","","[D': U' R2 U, r2]","[D' r: U R' U', r2]","[Rw D': U R' U', r']","[D' r: U R U', r2]","[Rw D': U R U', r']","[Rw D': U' L' U, r']","[U' D 3Rw: l', U R' U']","[L' D: r, U L' U']","[D Rw D: U' R2 U, r']","[D': U' R U, r2]","[r: U2, r D' r']","[D' r2 D, L]","[3Lw': U L' U', r']","[D' r2 D, L']","[3Lw: U L U', r]","[D': U' R' U, r2]","[D2 Rw: U' R U, r']",
"DBr","[R U' R' U, r2]","[D' Rw' U: R', U r U']","[U': r2, R U' R' U]","[R: U' R U, r2]","[D R D': U' R U, r2]","[D': r2, U' R2 U]","","[r: U R' U', r2]","[Rw: U R' U', r2]","[r: U R U', r2]","[D' Rw: U' R U, r']","[r: U' L' U, r2]","[3Lw': U' L U, r2]","[r: U' L U, r2]","[3Lw': U' L' U, r2]","[U' R U, r2]","[D r: U2, r D' r']","[U L' U', r2]","[U' Rw: r, U' R' U]","[U L U', r2]","[D' R2': U' R' U, r]","[U' R' U, r2]","[U' r: r U r', D2]",
"RBu","[R D': U' R' U, r]","[U R' U': U' R U, r']","[R' U': r', R' U' R U]","[R D': U' R U, r]","[r U: U l' U', R']","[D' r': U R' U', r2]","[r': U R' U', r2]","","[R U R': R', U' r U]","[U R': U' r U, R2]","[U R': U' r U, R']","[u: R U' R', u2]","[Rw2 U: U R U', r']","[3Lw U: U R' U', r2]","[D r: r, U R' U']","[u, R U' R']","[Rw2 U': R, U' r' U]","[R D': U L' U', r]","[r: r, U R' U']","[u', L U L']","[U R' U', r]","[Uw2 R': R' u' R, U]","[D' U R': U' r U, R']",
"RUf","[U Rw' U' Rw: r, U R' U']","[3Rw' U': R, U' r2 U]","[U': r', R' U' R U]","[R: u, R U' R']","[Rw U: U l' U', R']","[Rw D': r', U R' U']","[Rw: r2, U R' U']","[R U R': U' r U, R']","","[R' U R: U' r U, R]","[D' Rw: r, U R' U']","[U' Rw': u', R U' R']","[Rw' U: U R U', r2]","[x' U: U R U', r2]","[D Rw: r, U R' U']","[F: R, U' r2 U]","[Rw' U': R, U' r2 U]","[L' U': r', R' U' R U]","[Rw: r, U R' U']","[Rw: R' U R, u]","[R U R' U', r]","[Rw D: U R' U', r']","[3Rw U: U l' U', R']",
"RFd","[R' D': U' R U, r]","[R': U2, r' D r]","[R U': r', R' U' R U]","[R' D': U' R' U, r]","[r U: U l' U', R]","[D' r': U R U', r2]","[r': U R U', r2]","[U R: U' r U, R2]","[R' U R: R, U' r U]","","[U R: U' r U, R]","[R' D' Rw: U' L' U, r]","[Rw2 U: U R' U', r']","[3Lw U: U R U', r2]","[D r: r, U R U']","[Uw R U': r, U' L' U]","[r'  U': R, U' r2 U]","[d', L' U L]","[r: r, U R U']","[Uw R: U' r U, R2]","[U R U', r]","[R': R' u R, U']","[D' U R: U' r U, R]",
