"","BDl","BLu","BRd","BUr","DBr","DFl","DLb","DRf","FDr","FLd","FRu","FUl","LBd","LDf","LDr","LFu","LUb","LUf","RBu","RDb","RFd","RUf","UBl","ULf","URb",
"BDl","","[U: L, U l U']","[U': R', U' l U]","[D' R: U R U', r]","[U' r: D2, r U r']","[U' 3Rw': U R U', l]","[D2 R: U' R U, r]","[U': R2, U' l U]","[l U2 l', D2]","[U: L', U l U']","[U': R, U' l U]","[D' l': l' D l, U2]","[D2 Rw: U' L U, r]","[l U2 l', D']","","[Uw': R, U' l U]","[3Rw' U2 Rw: r, U R' U']","","[D' U R': R', U' r U]","[l U2 l', D]","[D' U R: R, U' r U]","[3Rw U: R', U l' U']","[U2, r' D2 r]","[3Rw' U2: r, R U' R' U]","[U': l, Rw' U R U']",
"BLu","[U: U l U', L]","","[3Lw U': r, U' R' U]","[r', U L U']","[r2, U L U']","[U: U l2 U', L]","[L', D' r2 D]","[D: r2, U L U']","[r, U L U']","[x': U' r U, L2]","[u2, R U' R']","[Lw2 U: U l U', L']","[Uw' L': U r U', L2]","[D: r, U L U']","","[L U L', u]","[L U': R' u' R, U']","","[L U L', u']","[Uw R': U' r U, R']","[Uw R': U' r U, R2]","[Rw: u, R' U R]","[Rw' U': L, U' r U]","[x': U' r U, L']","[u': R' u' R, U']",
"BRd","[U': U' l U, R']","[3Lw U': U' R' U, r]","","[r', U' R' U]","[r2, U' R' U]","[U': U' l2 U, R']","[D': r2, U' R' U]","[D: r2, U' R' U]","[r, U' R' U]","[Rw' U: r, U L' U']","[Rw': U r U', R2]","[Rw: l D' l', U2]","[R' U' R, d']","[D: r, U' R' U]","","[R': U', R' u' R]","[R' U' Rw: U R' U', l']","","[Uw2 R': U, R' u' R]","[D': r, U' R' U]","[R': U', R' u R]","[Rw D: U R' U', r']","[Rw' U: r, R U' R' U]","[U': r' U r U', R']","[R', r' U r U']",
"BUr","[D' Rw: U R U', r']","[U L U', r']","[U' R' U, r']","","[D' R': U' R' U, r']","[D R': U' R' U, r']","[Lw: U L U', r']","[R': U' R' U, r']","[D Rw: U R U', r']","[U L' U', r']","[U' R U, r']","[Rw: l D2 l', U2]","[r, U' L U]","[3Lw': U' L' U, r']","","[r, U' L' U]","[3Lw': U' L U, r']","","[r, U R' U']","[Rw: U R U', r']","[r, U R U']","[r, R U R' U']","[Rw': U2, l' D2 l]","[Lw: U L' U', r']","[R' U' R U, r']",
"DBr","[U' r: r U r', D2]","[U L U', r2]","[U' R' U, r2]","[D' Rw': U' R' U, r]","","[D R D': U' R U, r2]","[D': r2, U' R2 U]","[R: U' R U, r2]","[U' Rw: r, U' R' U]","[U L' U', r2]","[U' R U, r2]","[D r: U2, r D' r']","[r: U' L U, r2]","[3Lw': U' L' U, r2]","","[r: U' L' U, r2]","[3Lw': U' L U, r2]","","[r: U R' U', r2]","[D' Rw: U' R U, r']","[r: U R U', r2]","[Rw: U R' U', r2]","[D' Rw' U: R', U r U']","[U': r2, R U' R' U]","[R U' R' U, r2]",
"DFl","[U' 3Rw': l, U R U']","[U: L, U l2 U']","[U': R', U' l2 U]","[D R': r', U' R' U]","[D R D': r2, U' R U]","","[Lw U: L, U l U']","[U': R2, U' l2 U]","[Rw D: U' R2 U, r']","[U: L', U l2 U']","[U': R, U' l2 U]","[r: U2, r D2 r']","[Rw U': L, U' l' U]","[D Rw: U' R U, r']","","[Rw U': L', U' l' U]","[U' 3Rw: l', U R' U']","","[r U: R', U l' U']","[Rw U: R, U l' U']","[r U: R, U l' U']","[Rw U: R', U l' U']","[D Rw' U: R', U r U']","[D Rw' U': U' R' U, r]","[Lw: U, r' D2 r]",
"DLb","[D2 Rw: U' R U, r']","[D' r2 D, L']","[D': U' R' U, r2]","[3Lw: U L U', r]","[D': U' R2 U, r2]","[Lw U: U l U', L]","","[R D': U' R U, r2]","[3Lw': U L' U', r']","[D' r2 D, L]","[D': U' R U, r2]","[r: U2, r D' r']","[L' D: r, U L' U']","[D Rw D: U' R2 U, r']","","[Rw D': U' L' U, r']","[U' D 3Rw: l', U R' U']","","[D' r: U R' U', r2]","[Rw D': U R U', r']","[D' r: U R U', r2]","[Rw D': U R' U', r']","[Lw' U: U l U', L']","[U' D': r2, R U' R' U]","[D': R U' R' U, r2]",
"DRf","[U': U' l U, R2]","[D: U L U', r2]","[D: U' R' U, r2]","[R': r', U' R' U]","[Rw r: U' R U, r2]","[U': U' l2 U, R2]","[R D': r2, U' R U]","","[Rw: U' R U, r']","[D: U L' U', r2]","[D: U' R U, r2]","[r: U2, r D r']","[R': R' U' R, d']","[R D: r, U' R U]","","[3Lw' U: U, R u' R']","[U' D' 3Rw: l', U R' U']","","[R D': r, U' R U]","[D' Rw D: U' R2 U, r']","[R' D': r, U' R' U]","[R: R U' R', u]","[Rw' U: R', U r U']","[Rw' U': U' R' U, r]","[U Rw' U': r, U' R' U]",
"FDr","[D2, l U2 l']","[U L U', r]","[U' R' U, r]","[D R: U R U', r]","[U' Rw: U' R' U, r]","[Rw D: r', U' R2 U]","[Lw': U L' U', r]","[R: U' R U, r]","","[U L' U', r]","[U' R U, r]","[l': l' D2 l, U2]","[Rw: U' L U, r]","[U: r U' r', D]","","[Rw: U' L' U, r]","[F' L F, r]","","[r: U R' U', r]","[U: r U' r', D']","[r: U R U', r]","[Rw: U R' U', r]","[l' D2 l, U2]","[U': r, R U' R' U]","[R U' R' U, r]",
"FLd","[U: U l U', L']","[x': L2, U' r U]","[Rw' U: U L' U', r]","[r', U L' U']","[r2, U L' U']","[U: U l2 U', L']","[L, D' r2 D]","[D: r2, U L' U']","[r, U L' U']","","[L D': U' R U, r2]","[Rw2 F2 Rw2: r', U' R' U]","[L' U L, d]","[D: r, U L' U']","","[u x': L2, U' r U]","[F': U r2 U', L']","","[R D': r, U L' U']","[D': r, U L' U']","[L' U L, d']","[L' U': R' U' R U, r']","[Rw' U': L', U' r U]","[3Rw': L', U' r U]","[r' U: U L' U', r]",
