"","Ubr","Ufl","Ufr","Dfr","Dfl","Dbl","Dbr","Rub","Ruf","Rdf","Rdb","Luf","Lub","Ldb","Ldf","Fur","Ful","Fdl","Fdr","Bul","Bur","Bdr","Bdl",
"Ubr","","","","[r2, D' l2 D]","[D r2 D', l2]","[D: D r2 D', l2]","[D': r2, D' l2 D]","[U, r' u r]","[l u l', U']","[U, r d r']","[l' d l, U']","[U, r' u' r]","[l u' l', U']","[U, r d' r']","[U: U, r' d r]","[l': U' l U, r]","[3Rw: U r' U', l]","[U2 Rw: U' r' U, l']","[U2 M': U l U', r']","[U2 Rw': U' r U, l]","[l u2 l', U']","[l': U' l U, r']","[3Rw': U r U', l']",
"Ufl","","","","[U: D' l2 D, r2]","[U: l2, D r2 D']","[U': D' r2 D, l2]","[U': r2, D l2 D']","[U: r' u r, U]","[l u l', U]","[U', l d' l']","[U': U', r' d' r]","[U: r' u' r, U]","[l u' l', U]","[U', l d l']","[U': U', r' d r]","[Uw: r' u' r, U]","[U Rw: U r' U', l']","[U' 3Rw: U' r' U, l]","[U' l': U l U', r]","[U' 3Rw': U' r U, l']","[l u2 l', U]","[U M: U' l' U, r]","[U Rw': U r U', l]",
"Ufr","","","","[l U': U' l' U, r2]","[Rw' F': l2, U r U']","[Rw' U': l2, U' r U]","[D Rw' U': l2, U' r U]","[U: r' u r, U2]","[U2, r u' r']","[R': U2, r' d' r]","[U2, r' d' r]","[U: r' u' r, U2]","[U2, r u r']","[U r d' r', U2]","[U2, r' d r]","[l' U': U' l U, r]","[U2, r u2 r']","[Rw' U': l', U' r U]","[U' Lw U: U l' U', r]","[Rw' U': l, U' r U]","[l u2 l', U2]","[l' U': U' l U, r']","[Rw' F': l, U r U']",
"Dfr","[D' l2 D, r2]","[U: r2, D' l2 D]","[l U': r2, U' l' U]","","","","","[D': Uw r Uw', l2]","[Rw: r U r', u]","[Rw2: U, r' u r]","[R' D': Uw r Uw', l2]","[Rw: r U r', u']","[u' 3Rw: U r U', l]","[Rw': r' U r, d']","[D Rw: r U2 r', d]","[D': U r U', l2]","[3Rw: U r U', l]","[3Rw U: U r U', l]","[3Rw U': r, U' l U]","[3Rw' U: U r' U', l']","[3Rw' U': r', U' l' U]","[D': U r' U', l2]","[3Rw': U r' U', l']",
"Dfl","[l2, D r2 D']","[U: D r2 D', l2]","[Rw' F': U r U', l2]","","","","","[Uw r Uw', l2]","[R: Uw r Uw', l2]","[Rw2: Uw r Uw', l2]","[R': Uw r Uw', l2]","[u': U r U', l2]","[U l': l' U' l, u']","[3Uw: r', U' l2 U]","[Fw: l' u l, U']","[U r U', l2]","[D 3Rw: U r U', l]","[F2: U r U', l2]","[F': U r U', l2]","[D 3Rw' U: U r' U', l']","[D' U': U' r' U, l2]","[U r' U', l2]","[D 3Rw': U r' U', l']",
"Dbl","[D: l2, D r2 D']","[U': l2, D' r2 D]","[Rw' U': U' r U, l2]","","","","","[D: Uw r Uw', l2]","[Uw': U' r' U, l2]","[Dw: U r' U', l2]","[R' D: Uw r Uw', l2]","[Uw' F: U' r U, l2]","[D' Rw': r' U2 r, u]","[U l': l' U2 l, d]","[3Uw': U' r U, l2]","[D: U r U', l2]","[Uw2: r', Uw l2 Uw']","[U' D' 3Rw: U' r U, l]","[U': U' r U, l2]","[D' U': l, U' r2 U]","[U': U' r' U, l2]","[D: U r' U', l2]","[D2 3Rw': U r' U', l']",
"Dbr","[D': D' l2 D, r2]","[U': D l2 D', r2]","[D Rw' U': U' r U, l2]","","","","","[Uw': l, Uw' r2 Uw]","[R Uw': l, U' r2 U]","[R2 Uw': l, Uw' r2 Uw]","[R' Uw': l, Uw' r2 Uw]","[D' Rw: r U r', u']","[Rw': r' U2 r, u]","[3Uw': l', U' r2 U]","[Rw: r U2 r', d]","[D2: U r U', l2]","[D' 3Rw: U r U', l]","[U' 3Rw: U' r U, l]","[U' 3Rw: r, U l U']","[U': l, U' r2 U]","[D U': U' r' U, l2]","[D2: U r' U', l2]","[D' 3Rw': U r' U', l']",
"Rub","[r' u r, U]","[U: U, r' u r]","[U': r' u r, U2]","[D': l2, Uw r Uw']","[l2, Uw r Uw']","[D: l2, Uw r Uw']","[Uw': Uw' r2 Uw, l]","","","","","[u: r U r', u2]","[R' u': r' U2 r, u2]","[R' 3Uw: r', U' l' U]","[3Uw: U' l U, r]","[u, r U r']","[l', Uw r Uw']","[F: l', Uw r Uw']","[Uw': Uw' r Uw, l]","[u: r U r', u]","[Rw': U2, l u l']","[Rw': U', l u l']","[l, Uw r Uw']",
"Ruf","[U', l u l']","[U, l u l']","[r u' r', U2]","[Rw: u, r U r']","[R: l2, Uw r Uw']","[Uw': l2, U' r' U]","[R Uw': Uw' r2 Uw, l]","","","","","[R u: r U r', u2]","[u': r' U2 r, u2]","[3Uw: r', U' l' U]","[R 3Uw: U' l U, r]","[R: u, r U r']","[3Rw: Uw r Uw', l]","[Uw': l', U' r' U]","[Rw U': r' u r, U2]","[U': l, Uw' r' Uw]","[u', r' U2 r]","[Uw: r', U' l' U]","[Rw: l, Uw r Uw']",
"Rdf","[r d r', U]","[l d' l', U']","[Rw': d', r U2 r']","[Rw2: r' u r, U]","[3Rw2: Uw r Uw', l2]","[Dw: l2, U r' U']","[R2 Uw': Uw' r2 Uw, l]","","","","","[R2 u: r U r', u2]","[R u': r' U2 r, u2]","[d: r' U r, d2]","[R' d': r U2 r', d2]","[R2: u, r U r']","[R2: l', Uw r Uw']","[R Uw': l', U' r' U]","[R': d', r U2 r']","[R2 u: r U r', u]","[R: u', r' U2 r]","[d, r' U r]","[R2: l, Uw r Uw']",
